NAMES                  STATUS
frontend-client        Created
patient-service        Restarting (1) 57 seconds ago
payment-service        Created
doctor-service         Exited (1) About an hour ago
auth-service           Exited (1) About an hour ago
ai-service             Exited (1) About an hour ago
telemedicine-service   Exited (137) About an hour ago
appointment-service    Created
notification-service   Created
api-gateway            Created
eureka-server          Exited (1) About an hour ago
rabbitmq               Up 6 minutes (healthy)
mysql-db               Up 6 minutes (healthy)
mongo-db               Up 6 minutes (healthy)
