CONTAINER ID   IMAGE                                           COMMAND                  CREATED             STATUS                        PORTS                                                                                          NAMES
e274bd1a0c1e   healthcare-microservices-gateway                "java -jar app.jar"      About an hour ago   Exited (137) 15 minutes ago                                                                                                  api-gateway
3cac9d16f9f2   healthcare-microservices-ai-service             "java -jar app.jar"      About an hour ago   Exited (255) 11 minutes ago   8088/tcp, 0.0.0.0:8088->8080/tcp                                                               ai-service
2431c7d19d5c   healthcare-microservices-eureka                 "java -jar app.jar"      About an hour ago   Up 11 minutes (healthy)       0.0.0.0:8762->8761/tcp, [::]:8762->8761/tcp                                                    eureka-server
112e6f23b8cf   healthcare-microservices-client                 "docker-entrypoint.s???"   About an hour ago   Exited (255) 16 minutes ago   0.0.0.0:3000->3000/tcp                                                                         frontend-client
8433e74aa97c   healthcare-microservices-patient-service        "java -jar app.jar"      About an hour ago   Exited (255) 16 minutes ago   0.0.0.0:8082->8080/tcp                                                                         patient-service
76d0b22e5fa1   healthcare-microservices-appointment-service    "java -jar app.jar"      About an hour ago   Exited (255) 11 minutes ago   0.0.0.0:8084->8080/tcp                                                                         appointment-service
d25eafe926a2   healthcare-microservices-notification-service   "java -jar app.jar"      About an hour ago   Exited (255) 11 minutes ago   0.0.0.0:8087->8080/tcp                                                                         notification-service
3a64dda8dc80   healthcare-microservices-payment-service        "java -jar app.jar"      About an hour ago   Exited (255) 11 minutes ago   0.0.0.0:8086->8080/tcp                                                                         payment-service
46d9e1017aba   healthcare-microservices-telemedicine-service   "java -jar app.jar"      About an hour ago   Exited (255) 11 minutes ago   0.0.0.0:8089->8080/tcp                                                                         telemedicine-service
ac85c3dd70b1   healthcare-microservices-doctor-service         "java -jar app.jar"      About an hour ago   Exited (255) 11 minutes ago   0.0.0.0:8083->8080/tcp                                                                         doctor-service
e84e9b88bc52   healthcare-microservices-auth-service           "java -jar app.jar"      About an hour ago   Exited (255) 11 minutes ago   0.0.0.0:8081->8080/tcp                                                                         auth-service
4cca44d9ecb6   postgres:latest                                 "docker-entrypoint.s???"   About an hour ago   Up 11 minutes (healthy)       0.0.0.0:5432->5432/tcp, [::]:5432->5432/tcp                                                    postgres-db
89449f7ed201   mysql:8.0                                       "docker-entrypoint.s???"   About an hour ago   Up 11 minutes (healthy)       0.0.0.0:3306->3306/tcp, [::]:3306->3306/tcp                                                    mysql-db
1b67c264f637   rabbitmq:3-management                           "docker-entrypoint.s???"   About an hour ago   Up 11 minutes (healthy)       0.0.0.0:5672->5672/tcp, [::]:5672->5672/tcp, 0.0.0.0:15672->15672/tcp, [::]:15672->15672/tcp   rabbitmq
69884347f22b   mongo:latest                                    "docker-entrypoint.s???"   About an hour ago   Up 11 minutes (healthy)       0.0.0.0:27017->27017/tcp, [::]:27017->27017/tcp                                                mongo-db
