NAMES                  STATUS
frontend-client        Created
patient-service        Restarting (1) 27 seconds ago
notification-service   Up 11 minutes
api-gateway            Created
payment-service        Up 11 minutes
ai-service             Up 11 minutes
telemedicine-service   Restarting (1) 42 seconds ago
appointment-service    Up 11 minutes
auth-service           Up 11 minutes
doctor-service         Up 11 minutes
eureka-server          Up 11 minutes (healthy)
rabbitmq               Up 2 hours (healthy)
mysql-db               Up 2 hours (healthy)
mongo-db               Up 2 hours (healthy)
