NAMES                  STATUS
frontend-client        Created
patient-service        Up 28 seconds
notification-service   Up 28 seconds
api-gateway            Created
payment-service        Up 28 seconds
ai-service             Up 28 seconds
telemedicine-service   Up 28 seconds
appointment-service    Up 28 seconds
auth-service           Up 28 seconds
doctor-service         Up 28 seconds
eureka-server          Up 50 seconds (healthy)
rabbitmq               Up 2 hours (healthy)
mysql-db               Up 2 hours (healthy)
mongo-db               Up 2 hours (healthy)
